Document,Primary Introducer,Status,Description,Date Introduced
LB665,"Executive Board: Krist, Chairperson",Passed,Revisor bill to eliminate transfer provisions for the Water Resources Cash Fund,2016-01-06
LB666,"Executive Board: Krist, Chairperson",Passed,Revisor bill to eliminate obsolete provisions relating to the Department of Motor Vehicles,2016-01-06
LB667,"Executive Board: Krist, Chairperson",Passed,Revisor bill to eliminate obsolete provisions in the International Fuel Tax Agreement Act,2016-01-06
LB668,Krist,Indefinitely postponed,"Change certain federal references and provisions relating to provisional operator's permit restrictions, use of interactive wireless communication devices, and occupant protection system enforcement",2016-01-06
LB669,Krist,Indefinitely postponed,Update certain federal references and change from a secondary to primary offense certain occupant protection system enforcement requirements,2016-01-06
LB670,Krist,Indefinitely postponed,Require a hearing prior to release for persons taken into custody for mental health reasons,2016-01-06
LB671,Krist,Indefinitely postponed,Repeal the Build Nebraska Act and change the distribution of sales tax revenue,2016-01-06
LB672,Krist,Indefinitely postponed,Eliminate fees on tires as prescribed,2016-01-06
LB673,Krist,Indefinitely postponed,Change provisions relating to appointment of guardians ad litem,2016-01-06
LB674,Krist,Indefinitely postponed,Provide financial compensation for care for disabled persons by family as prescribed,2016-01-06
LB675,Krist,Indefinitely postponed,Change provisions relating to placement and detention of juveniles,2016-01-06
LB676,Craighead,Passed,"Revise powers of state-chartered banks, building and loan associations, and credit unions",2016-01-06
LB677,Craighead,Passed,Change a residency qualification and military service requirement for certain veterans service officers,2016-01-06
LB678,Craighead,Passed,Change provisions of the Nebraska Real Estate License Act,2016-01-06
LB679,Krist,Passed,Change reporting requirements of the Community Corrections Division of the Nebraska Commission on Law Enforcement and Criminal Justice,2016-01-06
LB680,Riepe,Passed,Change requirements for pharmacy technicians,2016-01-06
LB681,Schnoor,Indefinitely postponed,Change certain violation and penalty provisions under the Concealed Handgun Permit Act,2016-01-06
LB682,Craighead,Indefinitely postponed,Change deadlines for ballots for early voting and special elections by mail,2016-01-06
LB683,Craighead,Passed,Change provisions relating to homestead exemptions for surviving spouses,2016-01-06
LB684,Bolz,Passed,Change provisions relating to  adoptive home studies and medical histories as prescribed,2016-01-06
LB685,Bolz,Indefinitely postponed,Adopt the Student Loan Repayment Tax Credit Act,2016-01-06
LB686,Chambers,Passed,Provide for the publication and distribution of the Constitution of Nebraska,2016-01-06
LB687,Bloomfield,Indefinitely postponed,Provide procedures for recall of state elective officers,2016-01-06
LB688,Bloomfield,Indefinitely postponed,Require all examinations and test of applicants under the Motor Vehicle Operator's License Act be in English,2016-01-06
LB689,Bloomfield,Indefinitely postponed,Eliminate a sales and use tax exemption relating to political events,2016-01-06
LB690,Morfeld,Indefinitely postponed,Change provisions relating to eligibility for the Supplemental Nutrition Assistance Program,2016-01-06
LB691,Morfeld,Indefinitely postponed,Adopt the Teacher Education and Health Care Professions Student Grant Program Act,2016-01-06
LB692,Morfeld,Indefinitely postponed,Adopt the Student Online Personal Protection Act,2016-01-06
LB693,Morfeld,Indefinitely postponed,Change limitation of action provisions under the Political Subdivisions Tort Claims Act,2016-01-06
LB694,Crawford,Passed,Change provisions relating to exempt contracts under the Taxpayer Transparency Act,2016-01-06
LB695,Crawford,Passed,Provide for the counting of ballots in sanitary and improvement district elections,2016-01-06
LB696,Howard,Indefinitely postponed,Provide for a medicaid state plan waiver to provide coverage for treatment of opioid abuse,2016-01-06
LB697,Howard,Indefinitely postponed,Provide for a medicaid state plan amendment application relating to functional family therapy,2016-01-06
LB698,Mello,Passed,"Adopt the Home Care Consumer Bill of Rights Act and the Assisting Caregiver Transitions Act and change provisions of the Medical Assistance Act, Health Care Facility Licensure Act, Alzheimer's Special Care Disclosure Act, and Nebraska Community Aging Services Act",2016-01-06
LB699,Mello,Passed,Change the Nebraska Municipal Land Bank Act,2016-01-06
LB700,Mello,Passed,Require notice to neighborhood associations for changes to business improvement districts and zoning ordinances,2016-01-06
LB701,Mello,Indefinitely postponed,Eliminate a termination date relating to a self-sufficiency contract,2016-01-06
LB702,Urban Affairs Committee,Passed,Harmonize provisions relating to the election of city council members in cities of the second class,2016-01-06
LB703,Urban Affairs Committee,Passed,Change provisions relating to nuisances in cities and villages,2016-01-06
LB704,Urban Affairs Committee,Passed,Change building code provisions applicable to political subdivisions and provisions relating to cities of the first class,2016-01-06
LB705,Urban Affairs Committee,Indefinitely postponed,Change provisions relating to cities of the first class,2016-01-06
LB706,Coash,Indefinitely postponed,Define habilitative services for purposes of insurance,2016-01-06
LB707,Coash,Indefinitely postponed,Increase the number of judges of the separate juvenile court,2016-01-06
LB708,Bolz,Indefinitely postponed,Provide for a memory care endorsement under the Health Care Facility Licensure Act,2016-01-06
LB709,Howard,Indefinitely postponed,Provide for an alternative to detention for juveniles,2016-01-06
LB710,Hughes,Passed,Change provisions relating to hazing,2016-01-06
LB711,Hughes,Indefinitely postponed,Change provisions of the Noxious Weed Control Act and create the Riparian Vegetation Management Task Force,2016-01-06
LB712,Hughes,Passed,Change provisions relating to the regulation of aboveground motor vehicle fuel storage tanks,2016-01-06
LB713,Stinner,Indefinitely postponed,State intent relating to appropriations for the Access College Early Scholarship Program,2016-01-06
LB714,Stinner,Indefinitely postponed,Provide for and change a provision relating to sufficient cause for nonuse of a water appropriation,2016-01-06
LB715,Stinner,Indefinitely postponed,Provide for transfers from the General Fund to the Nebraska Cultural Preservation Endowment Fund,2016-01-06
LB716,Kolowski,Passed,Provide and eliminate provisions regarding pedestrians and bicyclists,2016-01-06
LB717,Groene,Indefinitely postponed,Change provisions relating to the assessment and valuation of real property,2016-01-06
LB718,Groene,Passed,Change requirements for an application for a waiver of college tuition and fees by a dependent of a veteran,2016-01-06
LB719,Groene,Indefinitely postponed,Change provisions relating to undeveloped vacant land under the Community Development Law,2016-01-06
LB720,Kuehn,Indefinitely postponed,Change certain invasion of privacy provisions to include unmanned aircraft or unmanned aircraft systems,2016-01-06
LB721,Baker,Passed,Adopt the Surgical First Assistant Practice Act,2016-01-06
LB722,Baker,Passed,Adopt the Stroke System of Care Act,2016-01-06
LB723,Schumacher,Indefinitely postponed,Change sales and use tax collection fees,2016-01-06
LB724,Schumacher,Indefinitely postponed,Change sales and use tax collection fees,2016-01-06
LB725,Schumacher,Passed,Provide an exception to a filing requirement relating to conveyances of real estate,2016-01-06
LB726,Sullivan,Passed,Require information relating to federal student loans as prescribed,2016-01-06
LB727,Schilz,Indefinitely postponed,Impose a tax on sales of tobacco at cigar shops,2016-01-06
LB728,Johnson,Indefinitely postponed,Authorize electronic voting devices for natural resources districts,2016-01-06
LB729,Johnson,Passed,Change provisions of the Real Property Appraiser Act,2016-01-06
LB730,Johnson,Passed,Change a security coverage provision for sellers of grain stored in a warehouse closed by the Public Service Commission,2016-01-06
LB731,Johnson,Passed,Change provisions relating to the Real Property Appraiser Act,2016-01-06
LB732,Watermeier,Indefinitely postponed,Change provisions relating to Military Honor Plates,2016-01-06
LB733,Watermeier,Indefinitely postponed,Appropriate funds to the Department of Correctional Services,2016-01-06
LB734,Watermeier,Passed,Change residency provisions relating to Nebraska National Guard members for college tuition purposes,2016-01-06
LB735,Friesen,Passed,Provide a length limit exception for an articulated bus vehicle operated by a transit authority,2016-01-06
LB736,Friesen,Passed,Change provisions relating to electric utilities and electric suppliers under the Rural Community-Based Energy Development Act,2016-01-06
LB737,Friesen,Passed,Change provisions of the Wastewater Treatment Facilities Construction Assistance Act,2016-01-06
LB738,Ebke,Indefinitely postponed,Prohibit the use of cell-site simulator technology or devices by law enforcement agencies,2016-01-06
